date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:25:12	36745/36745	---M-Z	200	added ('OK')	text/html	etag:%228f89-5af37892-9c660ed06d88c84b;gz%22	http://regaltheme.com/tf/multi/minipo/minipo/index-2.html	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/index-2.html	(from )
21:25:12	23/23	---M--	200	added ('OK')	text/plain	etag:%2217-5809bee8-7789036af5ce6389;;;%22	http://regaltheme.com/robots.txt		(from )
21:25:12	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%223aee-5890f2fe-db172448099cacac;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/favicon.ico	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/favicon.ico	(from http://regaltheme.com/tf/multi/minipo/minipo/index-2.html)
21:25:13	986/986	---M-Z	200	added ('OK')	text/css	etag:%223da-59f0fc7e-3ba5cccc5d3f2c96;gz%22	http://regaltheme.com/tf/multi/minipo/minipo/style.css	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/style.css	(from http://regaltheme.com/tf/multi/minipo/minipo/index-2.html)
21:25:14	15514/15514	---M-Z	200	added ('OK')	application/javascript	etag:%223c9a-5694fbd4-9cbe4866ff2878a3;gz%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/js/vendor/modernizr-2.8.3.min.js	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/js/vendor/modernizr-2.8.3.min.js	(from http://regaltheme.com/tf/multi/minipo/minipo/index-2.html)
21:25:15	41388/41388	---M-Z	200	added ('OK')	text/html	etag:%22a1ac-5af37896-90281cf7491d053b;gz%22	http://regaltheme.com/tf/multi/minipo/minipo/index.html	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/index.html	(from http://regaltheme.com/tf/multi/minipo/minipo/index-2.html)
21:25:16	489/489	---M--	200	added ('OK')	image/png	etag:%221e9-59f1a5b8-11d9074d466aec27;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/logo.png	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/logo.png	(from http://regaltheme.com/tf/multi/minipo/minipo/index-2.html)
21:25:17	31558/31558	---M-Z	200	added ('OK')	text/html	etag:%227b46-5af3788e-7944bdffdc5db12;gz%22	http://regaltheme.com/tf/multi/minipo/minipo/index-3.html	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/index-3.html	(from http://regaltheme.com/tf/multi/minipo/minipo/index-2.html)
21:25:18	32472/32472	---M-Z	200	added ('OK')	text/html	etag:%227ed8-5af37888-bb64a20a86087441;gz%22	http://regaltheme.com/tf/multi/minipo/minipo/index-4.html	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/index-4.html	(from http://regaltheme.com/tf/multi/minipo/minipo/index-2.html)
21:25:19	26858/26858	---M-Z	200	added ('OK')	text/html	etag:%2268ea-5af3787a-3d88fefe1b693fed;gz%22	http://regaltheme.com/tf/multi/minipo/minipo/index-5.html	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/index-5.html	(from http://regaltheme.com/tf/multi/minipo/minipo/index-2.html)
